,1
"Microsoft Outlook, Build 10.0.2627",6
QUALCOMM Windows Eudora Version 6.0.0.9 (Beta),291
IncrediMail 2001 (1850934),1
QUALCOMM Windows Eudora Version 6.0.1.1,298
Microsoft Outlook Express 5.00.2919.6600,4
Balsa 2.0.12,1
Mutt/1.2.5.1i,50
Balsa 2.0.15,1
Internet Mail Service (5.5.2653.19),13
Sylpheed version 0.9.0claws11 (GTK+ 1.3.0; Win32),1
QUALCOMM Windows Eudora Version 6.1.0.5 (Beta),85
Ximian Evolution 1.0.3 (1.0.3-6),1
The Bat! (v2.01),2
eGroups-EW/0.82,1726
"SnapperMail 1.5.1 Build 2  by Snapperfish, www.snappermail.com",1
Microsoft Outlook Express 5.00.2615.200,193
Internet Mail Service (5.5.2656.59),2
The Bat! (v1.62q),72
The Bat! (v2.00.18)         CD5BF9353B3B7091,212
QUALCOMM Windows Eudora Version 6.0.0.12 (Beta),401
Ximian Evolution 1.4.5 (1.4.5-7),68
Microsoft Outlook Express 5.00.2314.1300,12
KMail/1.4.3,1
Internet Messaging Program (IMP) 3.2.2 / FreeBSD-5.1,77
CoreBSD Mailer,1
Mutt/1.4.2i,24
QUALCOMM Windows Eudora Version 6.0.3.0,111
AtMail Corp 3.64 - http,3
QUALCOMM Windows Eudora Version 6.1.0.3 (Beta),38
SquirrelMail (version 1.2.11),22
Yahoo Groups Message Poster,1725
Microsoft Outlook Express 5.50.4927.1200,1
KMail/1.6.2,246
CentrinWebMail,2
Ximian Evolution 1.2.2 (1.2.2-5),16
Mutt/1.5.6i (Linux 2.6.6-mh1 i686),2
IncrediMail 2001 (2001107.2001107),1
Mutt/1.4.1i (Linux 2.6.2-ck1 i686),2
Mutt/1.4i (Linux 2.6.0-test6-mm4 i686),10
Mutt/1.4.1i (Linux 2.6.3-ck1 i686),10
Pegasus Mail for Windows (v4.01),2
Microsoft Outlook Express 5.50.4133.2400,1033
WinNT's Blat ver 1.9.4 http,125
Mutt/1.4i (Linux 2.4.21-0.13mdk-lavender i686),22
Mozilla/5.0 (Windows; U; Windows NT 5.0; en-US; rv,370
Pegasus Mail for Windows (v4.12a),3
Mozilla/5.0 (X11; U; Linux i686; en-US; rv,767
oMail 0.98.4 - http,2
Mail,1
Mutt/1.5.4i (Linux 2.6.0-test9-mm2 i686),20
Microsoft Outlook Express 6.00.2600.0000,126
eGroups Message Poster,1
"Blat v2.2, a Win32 SMTP/NNTP mailer http",158
MIME-tools 5.41 (Entity 5.404),1
Mozilla Thunderbird 0.5 (X11/20040229),30
The Bat! (v2.01.26)         CD5BF9353B3B7091,8
The Bat! (v2.00) Business,1
PowerMail - http,21
The Bat! (v2.04.7) UNREG / CD5BF9353B3B7091,10
Mutt/1.4.1i,318
Sylpheed version 0.7.4claws (GTK+ 1.2.10; i386-debian-linux-gnu),15
KMail/1.5,1405
"Microsoft Outlook IMO, Build 9.0.2416 (9.0.2911.0)",6
The Bat! (v1.61),67
Lotus Notes Release 5.0.2c (Intl) 2 February 2000,1
Mozilla 4.75 [en] (Win98; U),1
Mutt/1.4.1i (Linux 2.4.21-0.13mdk-lavender i686),40
Sylpheed version 0.8.11 (GTK+ 1.2.10; i686-pc-linux-gnu),49
"SnapperMail 1.8.1.01  by Snapperfish, www.snappermail.com",9
PHP/4.3.4,1
The Bat! (v1.62i) Personal,150
PHP/4.3.2,1
The Bat! (v1.63 Beta/7),78
Mutt/1.4.1i (Linux 2.4.22-ck2 i686),14
Mozilla 4.79 [en] (Win98; U),1
Sylpheed version 0.9.10claws (GTK+ 1.2.10; i686-suse-linux),1
The Bat! (v2.11.02) Personal,1
IncrediMail 2001 (1800828),1
"Microsoft Outlook, Build 10.0.4024",17
"Microsoft Outlook, Build 10.0.2616",45
Mozilla/5.0 (Windows; U; Win98; en-US; rv,85
QUALCOMM Windows Eudora Version 6.0.2.0,32
KMail/1.5.4,723
The Bat! (v2.00.6)         CD5BF9353B3B7091,156
Mutt/1.4.1i (Linux 2.6.0-test9-mm3 i686),32
The Bat! (v2.04.4) Personal,61
"Lotus Notes Release 5.0.9  November 16, 2001",1
IncrediMail 2001 (2001180),1
QUALCOMM Windows Eudora Version 6.0.0.20 (Beta),166
KMail/1.5.3,6
Sylpheed version 0.9.10claws (GTK+ 1.3.0; Win32),26
"Microsoft Outlook CWS, Build 9.0.2416 (9.0.2910.0)",4
